YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DISTANCE,CANCELLED,DEP_HOUR,DEPARTURE_DELAY
2025,5,8,5,AS,LGA,DFW,310,964,0,3,17.0
2025,3,17,4,AA,FLL,DTW,1170,2681,0,11,6.0
2025,12,6,3,UA,MCO,LGA,255,2555,0,2,45.0
2025,8,2,6,NK,EWR,LGA,2050,3032,0,20,19.0
2025,6,13,5,NK,PHL,DTW,1360,4549,0,13,37.0
2025,11,25,6,F9,LGA,BOS,920,999,0,9,10.0
2025,3,8,4,DL,ORD,SEA,285,3158,0,2,11.0
2025,1,25,1,F9,DEN,DFW,150,4799,0,1,6.0
2025,3,9,0,SW,BOS,EWR,895,2177,0,8,42.0
2025,5,13,1,DL,SFO,FLL,1990,4174,0,19,21.0
2025,3,18,2,SW,CLT,JFK,855,2206,0,8,16.0
2025,1,18,3,AA,PHL,JFK,975,3283,0,9,9.0
2025,5,9,1,SW,MCO,SEA,2325,1263,0,23,12.0
2025,10,2,6,UA,PHL,PHX,1450,1595,0,14,3.0
2025,7,4,0,NK,MIA,EWR,1255,2042,0,12,6.0
2025,7,18,3,NK,DFW,LGA,1740,3347,0,17,18.0
2025,11,17,4,AA,CLT,DEN,2300,3449,0,23,9.0
2025,9,12,3,DL,ATL,ORD,2340,392,0,23,14.0
2025,10,16,5,DL,CLT,BOS,705,4297,0,7,16.0
2025,10,13,0,AS,PHX,EWR,2200,2621,0,22,17.0
2025,12,11,3,B6,ATL,DTW,1535,2794,0,15,12.0
2025,3,14,1,SW,MCO,SEA,85,524,0,0,6.0
2025,7,10,2,AA,CLT,FLL,340,1072,0,3,14.0
2025,1,23,1,B6,DTW,SFO,2280,1095,0,22,20.0
2025,4,28,5,SW,LAX,DFW,230,4471,0,2,3.0
2025,4,27,3,UA,PHL,PHL,2115,765,0,21,9.0
2025,5,21,5,UA,FLL,ORD,475,3848,0,4,12.0
2025,7,19,4,AS,PHL,LAX,255,973,0,2,9.0
2025,7,24,3,AA,EWR,MCO,1280,4379,0,12,15.0
2025,11,21,6,F9,SFO,JFK,2190,3082,0,21,14.0
2025,4,17,5,NK,ATL,PHX,850,1224,0,8,4.0
2025,7,9,6,AA,LAX,DEN,190,4508,0,1,16.0
2025,11,14,0,SW,LGA,SEA,1615,3179,0,16,32.0
2025,3,5,1,AS,MSP,LGA,1700,1295,0,17,22.0
2025,6,3,1,B6,DEN,LAX,340,2471,0,3,68.0
2025,12,22,3,NK,LAX,LGA,815,3527,0,8,11.0
2025,2,8,2,DL,EWR,MCO,1080,4743,0,10,8.0
2025,10,18,3,AA,LGA,ATL,2295,286,0,22,34.0
2025,9,27,2,AA,PHX,MSP,1080,3710,0,10,19.0
2025,5,3,6,AA,CLT,LGA,1095,1349,0,10,38.0
2025,6,23,3,AS,MCO,MCO,985,3902,0,9,8.0
2025,12,2,1,B6,DFW,DEN,2370,2718,0,23,9.0
2025,12,27,5,NK,EWR,DFW,155,4134,0,1,8.0
2025,12,11,2,UA,SEA,PHL,925,3869,0,9,6.0
2025,12,28,6,NK,CLT,ATL,725,599,0,7,5.0
2025,4,5,6,DL,LAX,MIA,1480,1514,0,14,2.0
2025,11,25,0,NK,FLL,IAH,255,1263,0,2,5.0
2025,10,7,5,UA,ORD,LAX,2015,4023,0,20,29.0
2025,7,14,2,NK,DFW,BOS,1170,4680,0,11,24.0
2025,12,19,4,B6,DEN,IAH,1205,4032,0,12,24.0
2025,9,2,5,NK,DEN,FLL,2135,425,0,21,5.0
2025,7,26,0,B6,EWR,DFW,2020,4743,0,20,18.0
2025,1,9,3,NK,FLL,PHX,2335,4929,0,23,7.0
2025,1,25,6,B6,IAH,EWR,625,2247,0,6,12.0
2025,9,25,4,F9,LAX,BOS,705,3982,0,7,11.0
2025,11,10,0,F9,MSP,JFK,1795,2622,0,17,22.0
2025,9,19,3,SW,ORD,DEN,1265,1007,0,12,8.0
2025,4,17,2,AA,FLL,PHL,1960,4594,0,19,32.0
2025,9,25,3,SW,ORD,LAX,1915,325,0,19,41.0
2025,3,7,6,F9,PHX,ATL,540,451,0,5,40.0
2025,7,18,1,F9,JFK,BOS,1150,4348,0,11,25.0
2025,6,6,0,B6,MCO,IAH,2155,2931,0,21,36.0
2025,8,27,2,SW,DFW,JFK,205,3956,0,2,16.0
2025,11,9,3,AA,LAX,DTW,2315,1229,0,23,59.0
2025,9,8,2,B6,CLT,ORD,1290,2330,0,12,62.0
2025,5,27,2,AS,SEA,PHX,700,3481,0,7,14.0
2025,1,28,5,SW,IAH,ORD,2190,3457,0,21,15.0
2025,3,22,0,AS,MCO,MCO,1445,2666,0,14,9.0
2025,10,22,2,F9,PHL,FLL,1235,599,0,12,9.0
2025,12,24,0,UA,MCO,LGA,1425,1373,0,14,9.0
2025,8,9,2,NK,DFW,ORD,1955,2383,0,19,77.0
2025,11,24,2,DL,PHL,MIA,1160,452,0,11,5.0
2025,6,1,3,NK,EWR,JFK,1250,2774,0,12,15.0
2025,8,2,4,DL,DTW,DFW,335,1497,0,3,12.0
2025,9,22,0,DL,ATL,MIA,1015,3942,0,10,6.0
2025,4,24,1,DL,MSP,PHL,1315,1997,0,13,19.0
2025,1,4,5,B6,SFO,CLT,175,2795,0,1,7.0
2025,1,28,0,AS,SEA,MIA,120,3676,0,1,11.0
2025,10,20,2,UA,LGA,DTW,540,4221,0,5,12.0
2025,4,18,5,AS,MCO,MIA,1190,4326,0,11,27.0
2025,12,10,4,SW,FLL,LAX,1550,2007,0,15,45.0
2025,7,1,5,F9,LGA,DEN,1235,3541,0,12,28.0
2025,2,10,0,AA,PHL,DTW,680,4171,0,6,10.0
2025,3,9,2,B6,LGA,LAX,1915,3751,0,19,24.0
2025,1,23,5,SW,MCO,CLT,775,2649,0,7,4.0
2025,5,25,1,AS,DFW,FLL,310,4895,0,3,17.0
2025,1,13,5,SW,DTW,DEN,1415,4500,0,14,5.0
2025,8,15,5,SW,PHX,LAX,1415,3167,0,14,13.0
2025,1,18,3,SW,PHL,ORD,1990,4251,0,19,33.0
2025,11,26,3,UA,EWR,CLT,1010,4461,0,10,9.0
2025,1,13,0,UA,MIA,MCO,810,1389,0,8,5.0
2025,2,5,0,NK,SFO,SEA,270,2312,0,2,15.0
2025,2,2,1,AA,SFO,EWR,835,619,0,8,10.0
2025,12,26,3,DL,ATL,MSP,30,288,0,0,10.0
2025,6,7,2,B6,LAX,JFK,1250,4502,0,12,7.0
2025,7,9,0,B6,PHX,DTW,450,1912,0,4,13.0
2025,5,19,4,AS,ORD,SEA,475,2295,0,4,17.0
2025,1,14,3,NK,SEA,SFO,2370,3391,0,23,15.0
2025,1,17,2,NK,PHX,PHL,2315,3306,0,23,26.0
2025,3,20,3,AS,DFW,DFW,365,1155,0,3,11.0
2025,2,20,5,UA,PHL,ORD,710,3671,0,7,5.0
2025,5,11,1,UA,DFW,MIA,1535,1553,0,15,13.0
2025,12,22,4,AA,CLT,IAH,205,926,0,2,6.0
2025,10,5,2,AS,PHL,EWR,910,2778,0,9,19.0
2025,6,12,2,AS,FLL,PHL,320,3036,0,3,12.0
2025,7,21,0,NK,MIA,ORD,1520,2836,0,15,29.0
2025,4,9,1,AA,MIA,LAX,210,1168,0,2,5.0
2025,7,27,1,B6,CLT,ORD,2300,4152,0,23,14.0
2025,11,17,2,AA,JFK,DEN,1675,3518,0,16,42.0
2025,8,8,3,NK,JFK,JFK,1895,2305,0,18,22.0
2025,11,24,2,F9,LAX,EWR,765,3220,0,7,14.0
2025,1,27,2,F9,IAH,SFO,2055,2553,0,20,39.0
2025,6,8,6,NK,LGA,DFW,1630,1296,0,16,18.0
2025,8,12,2,SW,DTW,PHL,1685,3894,0,16,52.0
2025,5,19,2,AA,MSP,IAH,2325,3944,0,23,5.0
2025,4,10,2,F9,EWR,DFW,2050,4663,0,20,25.0
2025,2,24,6,F9,LAX,SFO,400,1437,0,4,10.0
2025,6,2,2,SW,DFW,IAH,2010,3401,0,20,20.0
2025,6,24,3,B6,BOS,LGA,1785,4902,0,17,17.0
2025,11,28,4,AS,LGA,LAX,1210,3538,0,12,21.0
2025,1,8,5,F9,MCO,MCO,1645,3046,0,16,29.0
2025,9,14,4,SW,DEN,MIA,2380,1910,0,23,18.0
2025,12,19,0,DL,PHX,SEA,1965,2099,0,19,36.0
2025,11,4,6,F9,IAH,ORD,420,3492,0,4,14.0
2025,6,9,6,UA,MIA,EWR,150,2032,0,1,16.0
2025,3,13,6,NK,DEN,DEN,905,2775,0,9,26.0
2025,4,9,4,SW,CLT,EWR,930,3546,0,9,6.0
2025,12,26,3,NK,DEN,IAH,1530,297,0,15,27.0
2025,11,13,2,DL,MIA,DTW,1815,4025,0,18,21.0
2025,4,25,6,AA,CLT,PHX,1225,3352,0,12,12.0
2025,3,16,1,F9,DEN,BOS,880,3669,0,8,7.0
2025,10,26,6,NK,IAH,CLT,1480,2539,0,14,8.0
2025,3,22,3,F9,PHL,MCO,1375,4608,0,13,6.0
2025,3,1,1,AA,SFO,IAH,1365,2279,0,13,12.0
2025,4,8,0,AA,PHL,DTW,2285,539,0,22,9.0
2025,7,9,5,AA,ORD,LAX,2100,3214,0,21,34.0
2025,4,24,3,NK,EWR,JFK,15,4184,0,0,9.0
2025,9,13,2,DL,PHL,DTW,1135,4543,0,11,6.0
2025,1,17,2,NK,BOS,SFO,590,3699,0,5,6.0
2025,8,28,5,UA,SFO,JFK,180,909,0,1,6.0
2025,7,22,5,B6,PHL,MSP,555,4747,0,5,27.0
2025,2,25,3,B6,LGA,ORD,520,3772,0,5,16.0
2025,8,9,3,SW,ATL,JFK,725,3768,0,7,13.0
2025,1,7,2,UA,MIA,BOS,2345,784,0,23,6.0
2025,11,23,1,SW,MSP,CLT,865,1737,0,8,18.0
2025,12,20,3,UA,DTW,LGA,1670,4059,0,16,29.0
2025,9,23,5,DL,PHL,ORD,895,4546,0,8,8.0
2025,9,10,2,NK,MIA,CLT,1140,1793,0,11,24.0
2025,2,21,4,F9,MCO,PHL,1170,2994,0,11,9.0
2025,7,27,3,DL,DTW,IAH,255,478,0,2,35.0
2025,10,26,0,AA,BOS,DEN,500,1773,0,5,18.0
2025,3,5,6,F9,BOS,SEA,2005,1097,0,20,15.0
2025,7,17,5,AS,LGA,DTW,2150,2703,0,21,17.0
2025,12,2,0,DL,FLL,PHX,2165,1847,0,21,11.0
2025,10,9,5,F9,BOS,MSP,1930,356,0,19,17.0
2025,9,2,3,NK,EWR,IAH,1185,2392,0,11,22.0
2025,4,10,2,NK,IAH,LAX,1475,2265,0,14,14.0
2025,12,27,1,DL,IAH,BOS,2025,312,0,20,40.0
2025,1,12,3,AA,SEA,SFO,1090,3001,0,10,13.0
2025,2,2,0,AS,DFW,PHL,2195,2022,0,21,28.0
2025,1,15,1,DL,ORD,LGA,1210,1543,0,12,8.0
2025,12,25,4,DL,CLT,DFW,1915,857,0,19,32.0
2025,5,3,1,NK,EWR,PHL,285,1950,0,2,6.0
2025,5,2,4,F9,SFO,ORD,1200,4135,0,12,17.0
2025,11,7,5,UA,SEA,FLL,400,611,0,4,11.0
2025,7,28,0,SW,PHL,DEN,955,3186,0,9,7.0
2025,9,9,4,NK,ATL,PHX,2045,2381,0,20,29.0
2025,9,11,6,SW,IAH,SEA,315,4181,0,3,30.0
2025,3,22,1,NK,BOS,IAH,2070,3855,0,20,25.0
2025,3,28,0,NK,MCO,LAX,830,4576,0,8,7.0
2025,3,16,1,B6,PHL,SEA,2135,4852,0,21,13.0
2025,4,7,3,UA,PHX,FLL,1180,4403,0,11,29.0
2025,8,13,1,NK,DEN,MIA,1000,2488,0,10,18.0
2025,6,3,3,B6,MIA,CLT,1815,1728,0,18,25.0
2025,8,11,3,B6,FLL,CLT,840,1089,0,8,13.0
2025,1,3,6,SW,IAH,PHX,165,4016,0,1,26.0
2025,8,15,4,AA,MSP,FLL,310,4158,0,3,12.0
2025,4,8,3,NK,PHX,MIA,2050,4063,0,20,20.0
2025,11,7,4,AS,ORD,FLL,1855,2823,0,18,32.0
2025,1,5,3,DL,FLL,DEN,1955,2785,0,19,18.0
2025,8,6,5,SW,CLT,MSP,80,558,0,0,10.0
2025,4,25,6,DL,SEA,ATL,195,3610,0,1,3.0
2025,6,19,0,UA,JFK,MSP,1655,2109,0,16,27.0
2025,8,28,4,NK,IAH,BOS,295,2572,0,2,15.0
2025,4,3,1,UA,FLL,LAX,1820,4082,0,18,42.0
2025,3,11,4,SW,ORD,MCO,435,4348,0,4,10.0
2025,9,6,5,UA,SEA,CLT,215,3395,0,2,6.0
2025,3,27,0,SW,PHL,CLT,860,3153,0,8,14.0
2025,9,24,3,AA,SEA,SFO,1245,3176,0,12,26.0
2025,2,21,0,SW,MIA,FLL,900,4992,0,9,8.0
2025,2,14,2,UA,MSP,IAH,780,2803,0,7,15.0
2025,2,17,0,AA,BOS,DFW,1535,455,0,15,11.0
2025,6,3,0,B6,CLT,LAX,1020,3136,0,10,11.0
2025,3,24,6,F9,SEA,EWR,1620,3528,0,16,29.0
2025,9,4,0,AA,CLT,IAH,725,930,0,7,13.0
2025,4,9,1,SW,LGA,JFK,1790,2173,0,17,19.0
2025,1,13,1,DL,DFW,SEA,2300,3002,0,23,14.0
2025,4,6,6,DL,IAH,DTW,1875,4974,0,18,19.0
2025,1,10,0,UA,MIA,SEA,1860,1185,0,18,20.0
2025,5,20,2,NK,JFK,LAX,75,3520,0,0,7.0
2025,4,20,2,NK,CLT,EWR,510,3445,0,5,7.0
2025,8,26,4,NK,LGA,JFK,1740,336,0,17,20.0
2025,8,21,0,B6,ATL,JFK,1585,2906,0,15,12.0
2025,7,13,4,SW,MIA,CLT,1345,4845,0,13,12.0
2025,3,23,6,DL,PHX,JFK,2115,4434,0,21,8.0
2025,1,14,3,NK,IAH,LAX,1065,1196,0,10,32.0
2025,1,12,2,SW,PHL,DEN,415,2472,0,4,25.0
2025,12,23,3,DL,IAH,SEA,780,1080,0,7,25.0
2025,11,13,6,AA,MSP,SEA,175,3687,0,1,5.0
2025,3,10,3,F9,MCO,BOS,1755,2690,0,17,23.0
2025,6,7,0,F9,ORD,MSP,695,1692,0,6,8.0
2025,7,5,6,SW,ATL,PHX,1065,259,0,10,17.0
2025,6,12,2,NK,SFO,DEN,1360,549,0,13,30.0
2025,6,25,4,DL,PHL,FLL,1830,1466,0,18,26.0
2025,6,2,3,AS,LAX,FLL,1825,2348,0,18,41.0
2025,3,8,0,UA,PHX,ATL,2055,2591,0,20,45.0
2025,6,26,6,UA,ORD,LGA,1585,4649,0,15,15.0
2025,8,8,1,SW,BOS,SFO,1665,1956,0,16,23.0
2025,11,19,2,AS,EWR,DFW,215,1864,0,2,39.0
2025,11,5,1,AA,LGA,FLL,160,379,0,1,8.0
2025,2,8,6,UA,LGA,MIA,1585,181,0,15,6.0
2025,5,10,5,NK,BOS,ORD,760,1700,0,7,24.0
2025,1,13,4,SW,EWR,DFW,1180,3519,0,11,12.0
2025,12,9,4,B6,ORD,BOS,2300,2439,0,23,8.0
2025,1,7,6,UA,LAX,MCO,1480,2087,0,14,8.0
2025,5,20,4,SW,SEA,MCO,105,4581,0,1,7.0
2025,12,20,2,B6,MSP,SFO,970,2859,0,9,8.0
2025,3,19,3,F9,DTW,LAX,1865,3101,0,18,25.0
2025,4,11,6,AS,DTW,DEN,635,604,0,6,10.0
2025,3,8,0,DL,DTW,ATL,1285,1550,0,12,15.0
2025,1,22,5,NK,FLL,FLL,570,3086,0,5,9.0
2025,1,16,3,F9,SEA,PHX,225,4638,0,2,11.0
2025,12,10,2,NK,JFK,CLT,1095,512,0,10,7.0
2025,12,6,5,DL,SEA,IAH,255,1283,0,2,27.0
2025,5,10,1,B6,LAX,MIA,1115,3528,0,11,7.0
2025,6,10,0,NK,FLL,SFO,1945,3089,0,19,22.0
2025,3,25,6,NK,DTW,FLL,1115,4282,0,11,10.0
2025,12,27,4,DL,IAH,LAX,740,1085,0,7,10.0
2025,9,19,6,DL,ATL,LAX,1310,3325,0,13,34.0
2025,5,4,1,AA,DEN,SFO,275,4051,0,2,41.0
2025,8,19,6,SW,LGA,DFW,865,2158,0,8,23.0
2025,1,3,5,AA,EWR,MCO,1185,2142,0,11,13.0
2025,5,17,3,F9,FLL,PHX,1375,4786,0,13,12.0
2025,3,14,0,DL,ATL,PHX,1035,4833,0,10,20.0
2025,12,10,4,NK,BOS,CLT,180,4682,0,1,16.0
2025,1,6,0,DL,DFW,SEA,250,3335,0,2,7.0
2025,4,16,3,AS,PHX,JFK,1430,4248,0,14,9.0
2025,5,9,2,UA,FLL,MIA,1245,3078,0,12,18.0
2025,7,21,3,DL,JFK,LGA,850,4806,0,8,18.0
2025,1,12,2,AA,ORD,PHX,285,832,0,2,17.0
2025,3,12,4,F9,DEN,DFW,1745,573,0,17,17.0
2025,2,28,3,B6,IAH,DFW,295,4689,0,2,7.0
2025,9,14,3,AA,ATL,BOS,1970,3665,0,19,21.0
2025,10,26,6,NK,EWR,LGA,320,2583,0,3,3.0
2025,6,2,3,B6,PHX,LAX,1880,708,0,18,18.0
2025,10,10,3,NK,MCO,DTW,870,1911,0,8,8.0
2025,3,4,2,AA,MCO,DFW,2050,732,0,20,43.0
2025,8,28,2,AS,MCO,LAX,1105,4557,0,11,30.0
2025,8,6,1,AA,ORD,LAX,505,4492,0,5,65.0
2025,2,23,6,B6,MCO,MSP,745,1732,0,7,49.0
2025,6,28,4,SW,ATL,DEN,2240,2130,0,22,17.0
2025,7,13,4,B6,MIA,PHX,2350,990,0,23,11.0
2025,2,23,2,SW,MIA,PHL,245,2398,0,2,22.0
2025,11,14,1,F9,LGA,LGA,1155,1452,0,11,20.0
2025,10,4,1,AS,JFK,LGA,1620,3209,0,16,52.0
2025,2,10,3,SW,ORD,DTW,480,545,0,4,9.0
2025,10,10,1,B6,SEA,DTW,145,4751,0,1,43.0
2025,1,5,4,AS,JFK,IAH,2060,2460,0,20,26.0
2025,8,4,0,AS,MIA,LAX,1595,1189,0,15,5.0
2025,1,12,2,AS,ORD,DEN,2290,1004,0,22,16.0
2025,9,26,6,B6,CLT,DFW,1695,4808,0,16,21.0
2025,11,22,3,B6,EWR,MSP,485,4418,0,4,15.0
2025,6,27,6,SW,DFW,BOS,975,4412,0,9,22.0
2025,7,14,1,NK,CLT,MCO,400,431,0,4,9.0
2025,10,7,6,B6,ATL,MSP,1650,3676,0,16,53.0
2025,7,2,2,DL,DEN,BOS,675,2896,0,6,9.0
2025,10,14,6,NK,MCO,JFK,105,1734,0,1,16.0
2025,3,10,2,SW,BOS,DFW,1915,2205,0,19,21.0
2025,2,28,2,AS,PHL,JFK,1605,536,0,16,18.0
2025,9,16,4,UA,ATL,MIA,1465,1900,0,14,5.0
2025,8,3,3,F9,CLT,SEA,1160,2564,0,11,7.0
